classe,codigo,descricao,qtd,status
Req p inventário,509001,BROCA DE WIDIA 9/16 14MM (Un),"-1,00",OK
Req p inventário,222145,CAIXA DE TRANSMISSÃO INPEL CT14501,"-2,00",OK
Req p inventário,533890HYP,CAPA RETENTORA 80/130A REF.: 220756 HYPERTHERM (Un),"-1,00",OK
Req p inventário,222146,LIMITADOR DE TORQUE INPEL LT9003,"-2,00",OK
Req p inventário,222109,FILTRO DE PRESSAO PLF PARA 60 LITROS 10um (Un),"-4,00",OK
Req p inventário,268410,PNEU RODOV. 650 X16 CT52 6 Pr,"-1,00",OK
Req p inventário,201224,"DISCO GRADE CONCAVO LISO 24,00R 6,00MM 1F #42,86 (Un)","-5,00",OK
Req p inventário,647433,SERRA EM FITA PB,"-10,00",OK
Req p inventário,533888HYP,DISTRIBUIDOR DE GÁS 30/45A (HYP220180) (Un),"-2,00",OK
Req p inventário,646404,LAMINA DE SERRA 1 X 12 (Un),"-1,00",OK
Req p inventário,641870,BROCA CONICA 33/64 DIN 345 (Un),"-3,00",OK
Req p inventário,641728,BROCA CONICA 13/32 DIN 345 (Un),"-2,00",OK
Req p inventário,645102,MACHO MANUAL OSG 1/4 UNF 100B DIN351 (Un),"-8,00",OK
Req p inventário,318723,TINTA P/SERIGRAFIA SINT. BRANCO (L),"-2,60",OK
Req p inventário,238406,MOLA,"-5,00",OK
Req p inventário,645369,MACHO OSG 1/4 UNC 100C DIN351 (Un),"-4,00",OK
Req p inventário,509265,FILTRO CARTÃO PLINSADO 1250 X 1270MM 32 PLINSAS (Un),"-9,00",OK
Req p inventário,645760,MACHO 1/2 UNC DIN2183,"-1,00",OK
Req p inventário,645725,MACHO MANUAL 3/16 UNF 32F (Un),"-2,00",OK
Req p inventário,649044,INS INT 16 IR 6 STACME TT7010 (Un),"-5,00",OK
Req p inventário,645302,MACHO 1/2 UNF 100,"-1,00",OK
Req p inventário,534231HYP,SILICONE LUBRIFICANTE O'RING REF.: 027055 HYPERTHERM (Un),"-1,00",OK
Req p inventário,200047,"DISCO GRADE CONCAVO LISO 14,00L 3,00MM 1F #26,98 (Un)","-3,00",OK
Req p inventário,641716,BROCA CONICA 1/2 DIN 345 (Un),"-2,00",OK
Req p inventário,533883HYP,BOCAL DE PROTEÇÃO 80A REF.: 220189 HYPERTHERM (Un),"-5,00",OK
Req p inventário,398057,KIT ADESIVO ROCADEIRA ROCAX1800 (Un),"-1,00",OK
Req p inventário,500460,martelo de borracha 80mm,"-1,00",OK
Req p inventário,500608,ADESIVO REMENDO KG (Un),"-1,00",OK
Req p inventário,313210,CATALISADOR PU 1/1 5058 COMP B (L),"-48,21",OK
Req p inventário,398036,KIT ADESIVO FORRAGEIRA CBH6R (Un),"-1,00",OK
Req p inventário,398041,KIT ADESIVO CAFEEIRA CBHM5000 (Un),"-13,00",OK
Req p inventário,398050,KIT ADESIVO FORRAGEIRA CBH9,"-1,00",OK
Req p inventário,240234,MANG A/P SAE,"-2,00",OK
Req p inventário,645008,MACHO OSG 5/16 UNF 100B DIN351 (Un),"-3,00",OK
Req p inventário,350107,ARAME MIG P/ SOLDA INOX,"-15,00",OK
Req p inventário,643427,INSERTO PASTILHA ROSCA EXT RT16.01W,"-9,00",OK
Req p inventário,716032,"PAPEL A4 ETIQUETA A4375 C/ 100FL 32,83MM X 104,5MM (Un)","-1,00",OK
Req p inventário,398054,KIT ADESIVO BASICA FA6F METALICA (Un),"-1,00",OK
Req p inventário,650094,PASTILHA TNMG 16.04.04 ER,"-20,00",OK
Req p inventário,641310,BROCA AR 7/32 LONGA DIN340 (Un),"-4,00",OK
Req p inventário,534461,BICO DUPLO 3.5MM ROYTOOLS CÓD WELLE 9286 (Un),"-1,00",OK
Req p inventário,509109,BICO DE CORTE GLP 1503 N.06 (Un),"-7,00",OK
Req p inventário,534567,BICO HIGH SPEED 1.4 ESPECIAL DUPLO JFY (Un),"-1,00",OK
Req p inventário,647495,SERRA P/ TICO TICO (Un),"-3,00",OK
Req p inventário,534447,BICO SIMPLES 1.20 RAYTOOLS CÓD WELLE 8645 (Un),"-9,00",OK
Req p inventário,209911,ENGATE RÁPIDO C2 COM ESCAMA 050030005 (Un),"-2,00",OK
